CodEstacao,NomeEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
49340100,UHE XINGÓ JUSANTE 1,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PIRANHAS-AL,-9.62670,-37.75640,130.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49340200,UHE XINGÓ JUSANTE 2,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,TRAIPU-AL,-9.97250,-37.00250,40.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49369000,CURRALINHO,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,POÇO REDONDO-SE,-9.72167,-37.60361,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49369500,AÇUDE MORORÓ,4,49,00230 - APAC-PE - Agência Pernambucana de Águas e Clima,00104 - CPRH-PE - Companhia Pernambucana do Meio Ambiente,PEDRA-PE,-8.49530,-36.94360,0.00,49310200,RIACHO MORORÓ,Açudes Semiárido,Ativo
49369800,AÇUDE MULUNGÚ,4,49,00230 - APAC-PE - Agência Pernambucana de Águas e Clima,00104 - CPRH-PE - Companhia Pernambucana do Meio Ambiente,BUÍQUE-PE,-8.63140,-37.13190,0.00,49311000,RIACHO MULUNGU,Açudes Semiárido,Ativo
49384000,AÇUDE INGAZEIRA,4,49,00230 - APAC-PE - Agência Pernambucana de Águas e Clima,00230 - APAC-PE - Agência Pernambucana de Águas e Clima,VENTUROSA-PE,-8.61220,-36.91220,0.00,49310000,RIO IPANEMA,Açudes Semiárido,Ativo
49405000,AÇUDE LIMEIRA II,4,49,00121 - SEMARH-AL - SEMARH-AL,00001 - ANA - Agência Nacional de Águas ,BOM CONSELHO-PE,-9.28470,-36.70140,0.00,49330300,RIACHO LIMEIRA,Açudes Semiárido,Ativo
49480050,ÁGUAS BELAS JUSANTE,4,49,00121 - SEMARH-AL - SEMARH-AL,00001 - ANA - Agência Nacional de Águas ,ÁGUAS BELAS-PE,-9.13500,-37.15970,0.00,49310000,RIO IPANEMA,RHN,Ativo
49519000,AÇUDE ALGODOEIRO,4,49,00175 - SERHMA-SE - Secretaria do Meio Ambiente e Recursos Hídric...,00001 - ANA - Agência Nacional de Águas ,NOSSA SENHORA DA GLÓRIA-SE,-10.11940,-37.60170,0.00,49261500,RIACHO ALAGADIÇO,RHN,Ativo
49519000,AÇUDE ALGODOEIRO,4,49,00175 - SERHMA-SE - Secretaria do Meio Ambiente e Recursos Hídric...,00001 - ANA - Agência Nacional de Águas ,NOSSA SENHORA DA GLÓRIA-SE,-10.11940,-37.60170,0.00,49261500,RIACHO ALAGADIÇO,Açudes Semiárido,Ativo
49550000,ESTAÇÃO ILHA DO OURO,4,49,00175 - SERHMA-SE - Secretaria do Meio Ambiente e Recursos Hídric...,00175 - SERHMA-SE - Secretaria do Meio Ambiente e Recursos Hídric...,PORTO DA FOLHA-SE,-9.89610,-37.24250,10.80,40001000,RIO SÃO FRANCISCO,RHN,Ativo
49590000,CORURIPE - RIO PIAUÍ,4,49,00121 - SEMARH-AL - SEMARH-AL,00121 - SEMARH-AL - SEMARH-AL,CORURIPE-AL,-10.16220,-36.34940,0.00,49370000,RIO PIAUÍ,RHN,Ativo
49601000,ACUDE BOA CICA,4,49,00121 - SEMARH-AL - SEMARH-AL,00001 - ANA - Agência Nacional de Águas ,IGREJA NOVA-AL,-10.11470,-36.61310,0.00,49340000,RIO BOACICA,Açudes Semiárido,Ativo
49620000,AÇUDE TRÊS BARRAS,4,49,00175 - SERHMA-SE - Secretaria do Meio Ambiente e Recursos Hídric...,00001 - ANA - Agência Nacional de Águas ,GRACHO CARDOSO-SE,-10.19390,-37.22720,0.00,49270000,RIO GARARU,Açudes Semiárido,Ativo
49640000,AÇUDE JARAMATAIA,4,49,00121 - SEMARH-AL - SEMARH-AL,00001 - ANA - Agência Nacional de Águas ,JARAMATAIA-AL,-9.67940,-36.97720,0.00,49332000,RIACHO DO SERTÃO,Açudes Semiárido,Ativo
49705000,PROPRIÁ,4,49,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,PROPRIÁ-SE,-10.21390,-36.82390,1.57,40001000,RIO SÃO FRANCISCO,RHN,Ativo
49705000,PROPRIÁ,4,49,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,PROPRIÁ-SE,-10.21390,-36.82390,1.57,40001000,RIO SÃO FRANCISCO,CotaOnline,Ativo
49706000,UHE XINGÓ JUSANTE 3,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PROPRIÁ-SE,-10.21420,-36.82500,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49706250,UHE XINGÓ JUSANTE 4,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PENEDO-AL,-10.28810,-36.58560,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
50080000,SANTA ROSA DE LIMA,5,50,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,SANTA ROSA DE LIMA-SE,-10.66420,-37.19030,15.00,50200000,RIO SERGIPE,RHN,Ativo
50081000,AÇUDE JACARECICA I,5,50,00820 - COHIDRO-SE - Companhia de Desenvolvimento de Recursos Hídr...,00175 - SERHMA-SE - Secretaria do Meio Ambiente e Recursos Hídric...,ITABAIANA-SE,-10.67560,-37.36060,0.00,50607000,RIO JACARECICA,Açudes Semiárido,Ativo
50082000,AÇUDE JACARECICA II,5,50,00175 - SERHMA-SE - Secretaria do Meio Ambiente e Recursos Hídric...,00175 - SERHMA-SE - Secretaria do Meio Ambiente e Recursos Hídric...,MALHADOR-SE,-10.72030,-37.28860,0.00,50607000,RIO JACARECICA,Açudes Semiárido,Ativo
50090000,MARUIM,5,50,00175 - SERHMA-SE - Secretaria do Meio Ambiente e Recursos Hídric...,00175 - SERHMA-SE - Secretaria do Meio Ambiente e Recursos Hídric...,MARUIM-SE,-10.73030,-37.08580,9.00,50200850,RIO GANHAMOROBA,RHN,Ativo
50138900,AÇUDE COCOROBÓ MONTANTE,5,50,00114 - INEMA-BA - Instituto do Meio Ambiente e Recursos Hídrico...,00114 - INEMA-BA - Instituto do Meio Ambiente e Recursos Hídrico...,UAUÁ-BA,-9.85530,-39.22780,0.00,50300000,RIO VAZA BARRIS,Açudes Semiárido,Ativo
