,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
4166,PCH PASSO DE AJURICABA BARRAMENTO,75120000,7,75,01043 - DEMEI GERAÇÃO - Departamento Municipal de Energia de Ijuí Ger...,01043 - DEMEI GERAÇÃO - Departamento Municipal de Energia de Ijuí Ger...,IJUÍ-RS,-28.28250,-53.81030,295.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
4167,PCH PASSO DO AJURICABA MONTANTE,75155010,7,75,01043 - DEMEI GERAÇÃO - Departamento Municipal de Energia de Ijuí Ger...,01043 - DEMEI GERAÇÃO - Departamento Municipal de Energia de Ijuí Ger...,BOZANO-RS,-28.28690,-53.78030,299.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
4168,PCH SEDE II MONTANTE,75175100,7,75,01125 - IJUÍ - Ijuí Centenária Geração SPE Ltda.,01125 - IJUÍ - Ijuí Centenária Geração SPE Ltda.,IJUÍ-RS,-28.40080,-53.82830,0.00,75101400,RIO POTIRIBU,Setor Elétrico,Ativo
4169,PCH JOSÉ BARASUOL BARRAMENTO,75178000,7,75,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,IJUÍ-RS,-28.29250,-53.87780,270.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
4170,PCH RS-155 BARRAMENTO,75180000,7,75,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,IJUÍ-RS,-28.31280,-53.89640,0.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
4171,PCH RS-155 JUSANTE,75181000,7,75,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,IJUÍ-RS,-28.31280,-53.91310,250.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
4172,PCH SEDE II BARRAMENTO,75185200,7,75,01125 - IJUÍ - Ijuí Centenária Geração SPE Ltda.,01125 - IJUÍ - Ijuí Centenária Geração SPE Ltda.,IJUÍ-RS,-28.37110,-53.87920,0.00,75101400,RIO POTIRIBU,Setor Elétrico,Ativo
4173,PCH LINHA ONZE OESTE JUSANTE,75186900,7,75,01216 - LINHA_ONZE - Linha Onze Oeste Energia Ltda.,01216 - LINHA_ONZE - Linha Onze Oeste Energia Ltda.,CORONEL BARROS-RS,-28.35580,-54.04640,0.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
4174,PCH JOSÉ BARASUOL RIO POTIRIBU,75187000,7,75,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,IJUÍ-RS,-28.36030,-53.90080,0.00,75101400,RIO POTIRIBU,Setor Elétrico,Ativo
4175,PCH JOSÉ BARASUOL RIO CONCEIÇÃO,75188000,7,75,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,IJUÍ-RS,-28.53830,-53.86330,0.00,75102000,RIO CONCEIÇÃO,Setor Elétrico,Ativo
